Current learning rate: 0.1
Epoch: [4][330/383]	Loss 0.2206 (0.2045)	Accuracy 45.312 (46.120)
Epoch: [4][340/383]	Loss 0.2097 (0.2044)	Accuracy 40.625 (46.137)
Epoch: [4][350/383]	Loss 0.2088 (0.2044)	Accuracy 42.969 (46.127)
Epoch: [4][360/383]	Loss 0.2140 (0.2044)	Accuracy 42.188 (46.137)
Epoch: [4][370/383]	Loss 0.2414 (0.2046)	Accuracy 41.406 (46.121)
Epoch: [4][380/383]	Loss 0.1860 (0.2047)	Accuracy 55.469 (46.131)
Test: [  0/164]	Loss 1.8938 (1.8938)	Accuracy 25.000 (25.000)
Test: [ 10/164]	Loss 1.8000 (1.9449)	Accuracy 33.594 (21.733)
Test: [ 20/164]	Loss 2.8654 (2.0660)	Accuracy  4.688 (21.391)
Test: [ 30/164]	Loss 0.7504 (1.7901)	Accuracy 76.562 (33.972)
Test: [ 40/164]	Loss 0.5558 (1.4943)	Accuracy 88.281 (46.189)
Test: [ 50/164]	Loss 1.1506 (1.3692)	Accuracy 60.938 (51.593)
Test: [ 60/164]	Loss 1.2761 (1.3302)	Accuracy 60.156 (53.227)
Test: [ 70/164]	Loss 1.6060 (1.3336)	Accuracy 41.406 (53.180)
Test: [ 80/164]	Loss 2.0156 (1.3928)	Accuracy 13.281 (49.759)
Test: [ 90/164]	Loss 1.9321 (1.4547)	Accuracy 25.000 (46.506)
Test: [100/164]	Loss 1.3645 (1.4642)	Accuracy 51.562 (46.210)
Test: [110/164]	Loss 1.8022 (1.4632)	Accuracy 46.875 (46.622)
Test: [120/164]	Loss 1.8160 (1.4645)	Accuracy 28.906 (46.701)
Test: [130/164]	Loss 1.0971 (1.4526)	Accuracy 60.156 (47.197)
Test: [140/164]	Loss 1.4114 (1.4522)	Accuracy 50.781 (47.213)
Test: [150/164]	Loss 0.8855 (1.4378)	Accuracy 75.000 (47.811)
Test: [160/164]	Loss 1.4169 (1.4348)	Accuracy 48.438 (47.734)
 * Accuracy 48.001
Current best accuracy: 48.00114440917969
128.44164514541626
Current learning rate: 0.1
Epoch: [5][  0/383]	Loss 0.2006 (0.2006)	Accuracy 45.312 (45.312)
Epoch: [5][ 10/383]	Loss 0.1806 (0.1989)	Accuracy 50.000 (46.662)
Epoch: [5][ 20/383]	Loss 0.1767 (0.2027)	Accuracy 53.906 (46.391)
Epoch: [5][ 30/383]	Loss 0.1941 (0.2012)	Accuracy 48.438 (46.749)
Epoch: [5][ 40/383]	Loss 0.2118 (0.2014)	Accuracy 46.875 (46.570)
Epoch: [5][ 50/383]	Loss 0.1959 (0.2024)	Accuracy 50.781 (46.431)
Epoch: [5][ 60/383]	Loss 0.1666 (0.2016)	Accuracy 57.031 (46.926)
Epoch: [5][ 70/383]	Loss 0.1858 (0.2011)	Accuracy 50.781 (47.161)
Epoch: [5][ 80/383]	Loss 0.2136 (0.2011)	Accuracy 46.094 (47.116)
Epoch: [5][ 90/383]	Loss 0.2071 (0.2013)	Accuracy 43.750 (46.927)
Epoch: [5][100/383]	Loss 0.1787 (0.2007)	Accuracy 47.656 (47.099)
Epoch: [5][110/383]	Loss 0.1919 (0.2005)	Accuracy 55.469 (47.157)
Epoch: [5][120/383]	Loss 0.1986 (0.2001)	Accuracy 47.656 (47.262)
Epoch: [5][130/383]	Loss 0.1957 (0.2004)	Accuracy 50.781 (47.239)
Epoch: [5][140/383]	Loss 0.1995 (0.1998)	Accuracy 41.406 (47.340)
Epoch: [5][150/383]	Loss 0.1887 (0.1995)	Accuracy 52.344 (47.418)
Epoch: [5][160/383]	Loss 0.2020 (0.1995)	Accuracy 46.875 (47.380)
Epoch: [5][170/383]	Loss 0.2163 (0.1994)	Accuracy 35.156 (47.419)
Epoch: [5][180/383]	Loss 0.1941 (0.1994)	Accuracy 43.750 (47.471)
Epoch: [5][190/383]	Loss 0.2150 (0.1992)	Accuracy 42.188 (47.464)
Epoch: [5][200/383]	Loss 0.1808 (0.1989)	Accuracy 53.906 (47.637)
Epoch: [5][210/383]	Loss 0.2068 (0.1986)	Accuracy 40.625 (47.715)
Epoch: [5][220/383]	Loss 0.1997 (0.1987)	Accuracy 48.438 (47.692)
